country,gb,days,price_usd,price_per_gb,unlimited
egypt,0.49,1,1.79,3.653,yes
egypt,0.5,1,1.85,3.7,no
egypt,0.5,7,1.9,3.8,no
egypt,0.5,1,1.9,3.8,no
egypt,0.5,7,1.99,3.98,no
egypt,0.5,1,1.99,3.98,no
egypt,0.5,7,1.99,3.98,no
egypt,0.5,1,1.99,3.98,yes
egypt,0.1,7,0.4,4,no
egypt,0.5,7,2,4,no
egypt,0.5,1,2,4,no
egypt,0.5,0,2,4,no
egypt,0.5,1,2.04,4.08,no
egypt,0.5,3,2.2375155114743297,4.475,no
egypt,0.5,1,2.26,4.52,no
egypt,0.5,3,2.300103357949136,4.6,no
egypt,0.5,7,2.45,4.9,no
egypt,0.5,1,2.45,4.9,no
egypt,0.5,3,2.49,4.98,no
egypt,0.1,7,0.5,5,no
egypt,0.5,1,2.5,5,no
egypt,0.5,1,2.5,5,no
egypt,0.5,1,2.5,5,no
egypt,0.5,7,2.5,5,no
egypt,0.5,7,2.5,5,no
egypt,0.49,7,2.49,5.082,no
egypt,0.5,7,2.6,5.2,no
egypt,0.1,1,0.53,5.3,no
egypt,0.5,7,2.65,5.3,no
egypt,0.5,1,2.65,5.3,yes
egypt,0.1,7,0.54,5.4,no
egypt,0.1,30,0.55,5.5,no
egypt,0.5,1,2.79,5.58,no
egypt,0.5,1,2.9,5.8,no
egypt,0.5,1,2.9,5.8,no
egypt,0.3,3,1.79,5.967,no
egypt,0.5,7,2.99,5.98,no
egypt,0.5,1,2.99,5.98,yes
egypt,0.5,1,2.99,5.98,no
egypt,0.5,7,3,6,no
egypt,0.5,1,3,6,no
egypt,0.5,7,3,6,no
egypt,0.49,1,3.01,6.143,no
egypt,0.5,3,3.1,6.2,no
egypt,0.5,3,3.23,6.46,no
egypt,0.3,3,1.97,6.567,no
egypt,0.3,3,1.99,6.633,no
egypt,0.3,2,2.09,6.967,no
egypt,0.1,1,0.7,7,no
egypt,0.1,7,0.85,8.5,no
egypt,0.1,7,0.8555406400000001,8.555,no
egypt,0.2,30,1.79,8.95,no
egypt,0.1,1,0.95,9.5,no
egypt,0.1,3,0.95,9.5,no
egypt,0.1,5,0.95,9.5,no
egypt,0.1,7,0.95,9.5,no
egypt,0.2,30,1.96,9.8,no
egypt,0.2,30,1.97,9.85,no
egypt,0.1,1,1,10,no
egypt,0.1,1,1,10,no
egypt,0.1,1,1.08,10.8,no
egypt,0.2,30,2.3,11.5,no
egypt,0.1,7,1.45,14.5,no
egypt,0.1,7,1.471768269229895,14.718,no
egypt,0.2,30,2.99,14.95,no
egypt,0.1,7,1.5,15,no
egypt,0.1,7,1.7,17,no
egypt,0.1,7,1.71,17.1,no
egypt,0.1,7,1.84,18.4,no
egypt,0.1,7,1.9,19,no
egypt,0.1,3,1.96,19.6,no
egypt,0.1,5,1.96,19.6,no
egypt,0.1,7,1.96,19.6,no
egypt,0.1,10,1.96,19.6,no
egypt,0.1,15,1.96,19.6,no
egypt,0.1,20,1.96,19.6,no
egypt,0.1,30,1.96,19.6,no
egypt,0.1,7,2,20,no
egypt,0.1,0,2,20,no
egypt,0.1,1,2,20,no
egypt,0.1,0,2,20,no
egypt,0.1,0,2,20,no
egypt,0.1,7,2.1966584,21.536,no
egypt,0.1,7,2.99,29.9,no
egypt,0.1,7,2.99,29.9,no
egypt,0.1,7,2.99,29.9,no
egypt,0.1,0,3,30,no
france,3,30,0.6243134400000001,0.208,no
france,70,15,17.5,0.25,no
france,3,1,0.76,0.253,no
france,3,3,0.76,0.253,no
france,3,5,0.76,0.253,no
france,3,30,0.76,0.253,no
france,3,15,0.76,0.253,no
france,3,7,0.76,0.253,no
france,3,10,0.76,0.253,no
france,3,12,0.76,0.253,no
france,3,14,0.76,0.253,no
france,3,20,0.76,0.253,no
france,3,21,0.76,0.253,no
france,3,25,0.76,0.253,no
france,5,1,1.63,0.326,no
france,5,1,1.6417131200000001,0.328,no
france,2,15,0.76,0.38,no
france,2,30,0.76,0.38,no
france,3,1,1.2,0.4,no
france,3,3,1.2,0.4,no
france,3,5,1.2,0.4,no
france,3,7,1.2,0.4,no
france,3,10,1.2,0.4,no
france,3,15,1.2139428,0.405,no
france,3,15,1.2139428,0.405,no
france,3,20,1.22,0.407,no
france,4,1,1.63,0.407,no
france,4,30,1.6417131200000001,0.41,no
france,3,1,1.2717496000000001,0.424,no
france,3,30,1.2833109600000001,0.428,no
france,3,1,1.3526791200000001,0.451,no
france,3,7,1.5260995200000003,0.509,no
france,2,15,1.0520837600000001,0.526,no
france,2,15,1.0520837600000001,0.526,no
france,3,30,1.65,0.55,no
france,2,1,1.10989056,0.555,no
france,2,30,1.10989056,0.555,no
france,3,1,1.67,0.557,no
france,2,1,1.14,0.57,no
france,2,15,1.2,0.6,no
france,2,1,1.2023814400000001,0.601,no
france,2,1,1.24,0.62,yes
france,2,1,1.25,0.625,no
france,2,1,1.2601882400000002,0.63,no
france,1,1,0.65,0.65,no
france,1,5,0.66,0.66,no
france,1,1,0.66,0.66,no
france,10,7,6.8,0.68,no
france,1,7,0.68212024,0.682,no
france,1,1,0.69,0.69,no
france,1,7,0.69,0.69,no
france,1,1,0.6936816,0.694,no
france,2,1,1.43,0.715,no
france,2,1,1.4551674305392495,0.728,no
france,2,1,1.46,0.73,yes
france,1,1,0.75,0.75,no
france,1,1,0.7514884000000001,0.751,no
france,1,7,0.7514884000000001,0.751,no
france,2,1,1.51,0.755,no
france,1,5,0.76,0.76,no
france,1,15,0.76,0.76,no
france,1,20,0.76,0.76,no
france,1,30,0.76,0.76,no
france,1,10,0.76,0.76,no
france,1,7,0.76,0.76,no
france,1.5,1,1.14,0.76,no
france,2,3,1.53,0.765,no
france,1,3,0.77,0.77,no
france,0.5,1,0.3911740404675402,0.782,no
france,2,5,1.57,0.785,no
france,2,1,1.57,0.785,no
france,1,5,0.79,0.79,no
france,2,1,1.58,0.79,no
france,10,7,8,0.8,no
france,0.5,1,0.4,0.8,no
france,2,7,1.6,0.8,no
france,2,1,1.6087229881821794,0.804,yes
france,2,10,1.62,0.81,no
france,2,1,1.62,0.81,yes
france,0.75,7,0.61275208,0.817,no
france,1,7,0.82,0.82,no
france,2,15,1.64,0.82,no
france,0.8,1,0.66,0.825,no
france,2,1,1.65,0.825,no
france,1,10,0.83,0.83,no
france,2,20,1.66,0.83,no
france,2,1,1.66,0.83,yes
france,2,30,1.68,0.84,no
france,1,7,0.85,0.85,no
france,1,15,0.85,0.85,no
france,1,1,0.8555406400000001,0.856,no
france,1,20,0.86,0.86,no
france,1,30,0.87,0.87,no
france,1,1,0.8786102473918056,0.879,yes
france,1,7,0.8909850396085915,0.891,no
france,1,7,0.9,0.9,no
france,1,7,0.9133474400000001,0.913,no
france,0.5,1,0.46158536775169734,0.923,no
france,0.5,1,0.47,0.94,no
france,1,1,0.9404842084757357,0.94,yes
france,1,1,0.95,0.95,no
france,1,1,0.98,0.98,no
france,1,1,0.98,0.98,no
france,1,7,0.9899833773428797,0.99,no
france,1,7,0.99,0.99,no
